name,priority,comment,language, size, parameters, windows,
answerdotai/ModernBERT-base,10,,en, 600, 150,
camembert/camembert-large,2,,fr, 1350, 337,
flaubert/flaubert_small_cased,5,,fr, 220, 55,
flaubert/flaubert_base_cased,6,,fr, 550, 140,
flaubert/flaubert_large_cased,7,,fr, 1500, 370,
almanach/moderncamembert-base,8,,fr, 550, 136,
almanach/camembertav2-base,9,,fr, 450, 111,
camembert/camembert-base,10,,fr, 445, 111,
distilbert-base-cased,0,,en, 260, 66,
roberta-base,0,,en, 500, 125,
microsoft/deberta-base,0,,en, 560, 100,
distilbert-base-multilingual-cased,0,,multi, 135, 500,
microsoft/Multilingual-MiniLM-L12-H384,0,,multi, 96, 470,
ckiplab/bert-base-chinese-ws,5,,cn, 400,,
hfl/chinese-roberta-wwm-ext,5,,cn, 400,,
deepset/gbert-base,5,,de, 440, 111,
deepset/gbert-large,4,,de, 1350, 440,
tohoku-nlp/bert-base-japanese-v3,5,,ja, 100, 440,
dccuchile/bert-base-spanish-wwm-cased,6,,es, 550, 110,
PlanTL-GOB-ES/roberta-base-bne,5,,es, 440, 125,
EuroBERT/EuroBERT-610m,6,,multi,3000,610
